,Id,category,subcat
0,1000092536,bags,12016001003
1,1000111193,bags,12016001009
2,1000128563,outer,12015004003
3,1000128881,bottom,12015009005
4,1000154667,outer,12015004003
5,1000157594,bags,12016001003
6,1000171286,bottom,12015009005
7,1000178977,outer,12015004003
8,1000180878,bags,12016001003
9,1000189057,outer,12015004003
10,1000189806,bottom,12015009004
11,1000193842,shoes,12016013001004
12,1000195095,bottom,12015009001
13,1000195615,outer,12015004003
14,1000197463,shoes,12016013001002
15,1000200631,bottom,12015009003
16,1000200633,shoes,12016013003001
17,1000201094,shoes,12016013001001
18,1000207974,bags,12016001003
19,1000228078,top,12015003004
20,1000231965,outer,12015004003
21,1000232140,bottom,12015009003
22,1000237067,bottom,12015009004
23,1000237467,bottom,12015009003
24,1000244049,top,12015003007
25,1000244180,shoes,12016013007001
26,1000245322,top,12015003004
27,1000248983,bags,12016001003
28,1000257324,bottom,12015009003
29,1000262474,shoes,12016013003001
30,1000265922,bottom,12015009005
31,1000268352,shoes,12016013001004
32,1000273827,top,12015003004
33,1000280743,shoes,12016013005
34,1000289276,shoes,12016013001004
35,1000294846,shoes,12016013003003
36,1000297027,bottom,12015009003
37,1000307242,bags,12016021003
38,1000313976,shoes,12016013001001
39,1000315054,bags,12016001001
40,1000322225,bottom,12015009003
41,1000327456,bags,12016001003
42,1000337379,bags,12016001003
43,1000337443,top,12015003004
44,1000341021,shoes,12016013001004
45,1000343934,bottom,12015009005
46,1000348869,shoes,12016013001001
47,1000351344,bottom,12015009002
48,1000356504,bottom,12015009004
49,1000358609,shoes,12016013001005
50,1000360746,bags,12016001001
51,1000361001,shoes,12016013007001
52,1000361845,top,12015003006
53,1000361926,shoes,12016013007001
54,1000366477,shoes,12016013001001
55,1000368240,top,12015003004
56,1000371211,outer,12015004003
57,1000377826,top,12015003002
58,1000385732,shoes,12016013002003
59,1000385877,top,12015003007
60,1000387024,outer,12015004004
61,1000387146,shoes,12016013001004
62,1000396170,shoes,12016013001002
63,1000398500,shoes,12016013002002
64,1000398848,bags,12016001003
65,1000404476,shoes,12016013001001
66,1000404553,top,12015003006
67,1000407744,top,12015003003
68,1000412225,outer,12015004004
69,1000412234,top,12015003004
70,1000412253,top,12015003006
71,1000414861,top,12015003007
72,1000417466,top,12015003006
73,1000420135,outer,12015004003
74,1000420564,bags,12016001001
75,1000420826,outer,12015004003
76,1000428961,outer,12015004004
77,1000431593,bottom,12015009003
78,1000432487,top,12015003003
79,1000435941,bags,12016001004001
80,1000436951,outer,12015004001
81,1000439040,shoes,12016013004001
82,1000440276,shoes,12016013001003
83,1000440609,top,12015003006
84,1000443065,shoes,12016013004005
85,1000447398,shoes,12016013004003
86,1000449190,top,12015003006
87,1000453612,bottom,12015009004
88,1000457379,bags,12016001001
89,1000459981,bags,12016001003
90,1000460280,top,12015003003
91,1000462604,outer,12015004001
92,1000463473,shoes,12016013001003
93,1000463745,shoes,12016013004004
94,1000463917,top,12015003003
95,1000464143,shoes,12016013002002
96,1000464169,bags,12016001001
97,1000469988,shoes,12016013002001
98,1000470490,bags,12016001001
99,1000472171,shoes,12016013002002
100,1000472935,outer,12015004002
101,1000472993,bottom,12015009004
102,1000473188,bottom,12015009001
103,1000474570,bags,12016001001
104,1000476032,shoes,12016013004002
105,1000480089,shoes,12016013002001
106,1000480771,outer,12015004003
107,1000480829,outer,12015004003
108,1000480915,shoes,12016013001001
109,1000481502,shoes,12016013004002
110,1000482398,top,12015003003
111,1000482400,top,12015003003
112,1000485380,top,12015003007
113,1000487340,top,12015003003
114,1000489675,top,12015003003
115,1000492601,shoes,12016013002001
116,1000494711,shoes,12016013001004
117,1000499811,bags,12016001001
118,1000508161,bags,12016001001
119,1000508698,outer,12015004003
120,1000510140,shoes,12016013002001
121,1000511326,bottom,12015009001
122,1000512205,bags,12016021006
123,1000513932,outer,12015004004
124,1000514389,shoes,12016013004001
125,1000517259,outer,12015004004
126,1000517771,shoes,12016013002002
127,1000517859,shoes,12016013004004
128,1000518232,outer,12015004004
129,1000518573,bags,12016001001
130,1000521912,shoes,12016013001002
131,1000521935,shoes,12016013001002
132,1000522124,top,12015003002
133,1000522738,outer,12015004001
134,1000523153,bottom,12015009001
135,1000525241,shoes,12016013002002
136,1000525397,shoes,12016013002001
137,1000531956,shoes,12016013007001
138,1000532323,top,12015003003
139,1000534011,outer,12015004004
140,1000534596,shoes,12016013002001
141,1000537380,shoes,12016013002001
142,1000537634,top,12015003002
143,1000539732,top,12015003004
144,1000541502,outer,12015004004
145,1000541824,top,12015003007
146,1000544077,bottom,12015009001
147,1000545076,bottom,12015009001
148,1000551694,outer,12015004002
149,1000552870,shoes,12016013004004
150,1000553363,bottom,12015009001
151,1000554290,shoes,12016013002001
152,1000554314,shoes,12016013002001
153,1000555967,outer,12015004004
154,1000560532,top,12015003003
155,1000560938,bottom,12015009001
156,1000568179,shoes,12016013007001
157,1000569830,outer,12015004002
158,1000571098,shoes,12016013002002
159,1000571131,shoes,12016013001003
160,1000571349,outer,12015004001
161,1000572283,bags,12016001003
162,1000576454,shoes,12016013007001
163,1000577264,top,12015003003
164,1000578688,outer,12015004003
165,1000579144,outer,12015004003
166,1000580258,top,12015003004
167,1000583138,outer,12015004004
168,1000586541,top,12015003002
169,1000586793,outer,12015004004
170,1000587053,shoes,12016013002002
171,1000588159,outer,12015004003
172,1000596809,shoes,12016013002001
173,1000597288,bags,12016001001
174,1000599444,shoes,12016013002001
175,1000599722,outer,12015004004
176,1000607383,shoes,12016013002001
177,1000607630,shoes,12016013002003
178,1000610667,shoes,12016013002001
179,1000612747,top,12015003002
180,1000613440,bags,12016001003
181,1000613460,bags,12016001001
182,1000614855,top,12015003003
183,1000619619,bags,12016001001
184,1000619934,top,12015003003
185,1000622935,bags,12016021006
186,1000623539,shoes,12016013002002
187,1000624061,shoes,12016013001002
188,1000627892,top,12015003006
189,1000631180,shoes,12016013002002
190,1000633837,outer,12015004002
191,1000634301,bottom,12015009005
192,1000635850,shoes,12016013002001
193,1000636297,shoes,12016013002001
194,1000639773,top,12015003003
195,1000641938,top,12015003003
196,1000643039,outer,12015004001
197,1000674697,top,12015003007
198,1000681226,top,12015003003
199,1000684478,bags,12016001001
200,1000689018,bags,12016001003
201,1000689073,bags,12016001003
202,1000765702,shoes,12016013002001
203,1000767236,top,12015003002
204,1000771717,top,12015003002
205,1000773400,shoes,12016013002001
206,1000793091,top,12015003007
207,1000795419,bags,12016001001
208,1000796159,bags,12016001003
209,1000798291,shoes,12016013002001
210,1000804282,top,12015003007
211,1000815667,outer,12015004003
212,1000818129,bags,12016021006
213,1000821163,bottom,12015009003
214,1000827375,top,12015003003
215,1000836088,bags,12016001001
216,1000840104,bottom,12015009005
217,1000843826,bags,12016001001
218,1000847062,shoes,12016013001004
219,1000847608,top,12015003007
220,1000858398,top,12015003002
221,1000861934,bags,12016001001
222,1000863261,bags,12016001002
223,1000863787,top,12015003003
224,1000868852,top,12015003006
225,1000874426,bags,12016001001
226,1000876798,outer,12015004002
227,1000881227,top,12015003007
228,1000883390,shoes,12016013001002
229,1000885821,top,12015003003
230,1000887349,top,12015003005
231,1000890093,shoes,12016013001002
232,1000897501,bottom,12015009005
233,1000902221,shoes,12016013008
234,1000902237,shoes,12016013004005
235,1000902913,bottom,12015009004
236,1000904163,shoes,12016013004005
237,1000904173,shoes,12016013004005
238,1000904234,outer,12015004002
239,1000904279,outer,12015004002
240,1000904290,bottom,12015009002
241,1000904801,bottom,12015009004
242,1000905529,bags,12016001003
243,1000905948,outer,12015004002
244,1000910618,outer,12015004003
245,1000916680,outer,12015004003
246,1000917205,outer,12015004003
247,1000918759,top,12015003002
248,1000921892,shoes,12016013001002
249,1000922391,outer,12015004003
250,1000923153,bottom,12015009005
251,1000927328,bottom,12015009005
252,1000929070,top,12015003003
253,1000930537,top,12015003003
254,1000932396,outer,12015004004
255,1000934101,outer,12015004002
256,1000934575,top,12015003005
257,1000935725,top,12015003002
258,1000936589,bags,12016021003
259,1000936787,bottom,12015009005
260,1000937410,bags,12016001001
261,1000937873,bags,12016001001
262,1000938624,outer,12015004001
263,1000938764,outer,12015004001
264,1000939046,bags,12016001001
265,1000941501,top,12015003004
266,1000945989,outer,12015004003
267,1000949176,bags,12016001001
268,1000953196,shoes,12016013008
269,1000953958,bottom,12015009005
270,1000956345,bottom,12015009003
271,1000956365,top,12015003003
272,1000956726,shoes,12016013007001
273,1000958345,top,12015003005
274,1000958662,bottom,12015009005
275,1000959336,top,12015003003
276,1000959357,shoes,12016013001002
277,1000962030,outer,12015004003
278,1000963667,bottom,12015009004
279,1000963882,bottom,12015009005
280,1000964179,top,12015003005
281,1000964674,bottom,12015009001
282,1000967996,bottom,12015009003
283,1000968774,shoes,12016013001001
284,1000970775,shoes,12016013001002
285,1000972393,bags,12016001001
286,1000976826,outer,12015004004
287,1000977353,top,12015003007
288,1000977513,outer,12015004003
289,1000977850,top,12015003003
290,1000979609,shoes,12016013001004
291,1000983917,outer,12015004003
292,1000988969,top,12015003005
293,1000989621,bags,12016001001
294,1000990934,shoes,12016013001001
295,1000991859,bottom,12015009005
296,1000992459,shoes,12016013001002
297,1000994226,bags,12016001008
298,1000994698,outer,12015004004
