,product_id,all_tags,tag_len
0,2301428333,여자가방쇼핑몰 여자옷쇼핑몰추천 20대여자쇼핑몰 30대여자쇼핑몰 여자지갑추천 여자동전지갑 귀여운동전지갑 퍼동전지갑 여자겨울코디 여자지갑쇼핑몰,10
1,2429054242,,0
2,2757633970,독특한 프랑스감성 빈티지지갑 유니크한지갑 질이좋은 개성템 미니파우치 가죽동전지갑 코인월렛 캐쥬얼동전지갑,10
3,1002840624,귀여운 선물로좋은,2
4,2668818308,상큼포인트 엔티크한디자인 포인트가될만한 귀여운디자인 수납력이좋은 미니지갑스타일 편리한지갑 부엉이지갑 부엉이똑딱이 부엉이가죽지갑,10
5,1001594949,귀여운 러블리한 포인트패션,3
6,2562296362,,0
7,2522926999,심플유니크 유행타지않는 심플리티 간편한선물 간지나는디자인 수납력좋은 러블리지갑 럭셔리지갑,8
8,1002194299,귀여운 러블리한 고급스러운 미니멀한 일상패션,5
9,2218429430,카드목걸이 목걸이지갑 카드홀더 카드목걸이홀더 카드목걸이지갑 동전카드지갑 목걸이형지갑 목걸이형카드 카드홀더지갑 목걸이케이스,10
10,2277693792,스마일 동전지갑키링 키링악세사리 키링지갑 비비드한 튀는 개성템 키치스타일링 독특한디자인 유니크한디테일,10
11,2000112840,,0
12,2833626018,화사한컬러 럭셔리아이템 흔하지않은 유니크한아이템 가방장식 레몬백참 가죽백참 선물추천 과일패턴 질이좋은,10
13,2508926982,가죽지갑 여성가죽지갑 여성동전지갑 동전가방 미니파우치 가방악세사리 포인트악세사리 가죽동전지갑 여성 참장식,10
14,2070137814,,0
15,2553225580,코인월렛 동전파우치 가죽동전지갑 동전카드지갑 미니동전지갑 미니파우치 카드파우치 똑딱이동전지갑 미니지갑,9
16,2335804420,동전지갑겸용카드지갑 카드지갑선물 카드지갑겸용 카드지갑홀더 카드지갑여성 여성카드지갑 여성동전지갑 소가죽카드지갑 소가죽동전지갑 소가죽키링,10
17,2482360627,소가죽슬림카드지갑 트렌드한 귀여운카드지갑 실용적인카드지갑 앙증맞은지갑 선물 색상예쁜,7
18,2663081164,나들이룩코디 여성코디 살랑살랑핏 여자코디 쁘띠한디자인 편안하게입을수있는 간편한스타일링 봄 여성스러운원피스 러블리한원피스,10
19,1002174793,내추럴한 미시룩 고급스러운 빈티지한,4
20,2396080814,컬러풀한디자인 선물 가죽동전지갑 장어가죽지갑 장어가죽동전지갑 장어가죽키링 가죽가방참,7
21,1002561973,퍼지갑 겨울아이템 밍크지갑 겨울소품 퍼파우치 밍크파우치,6
22,2685892149,앱송가죽동전지갑 남자동전지갑 여자동전지갑 가죽동전지갑 명품동전지갑 명품카드지갑 남자선물 차량용동전지갑 여자들이좋아하는선물 고급스런디자인,10
23,2006558976,,0
24,2482355402,가죽카드지갑 천연소가죽스마일키링 선물 귀여운지갑 실용적인카드지갑 스마일지갑 귀여운카드지갑,7
25,2469593342,시크모던디자인 레트로무드패션 빈티지지갑 사계절 20대 40대 30대,7
26,1001846952,소가죽지갑 가죽지갑 작은지갑 지갑추천 명품스타일 선물용 선물용지갑,7
27,1001502479,깔끔한 비즈니스캐주얼,2
28,1002940417,지갑케이스 지갑선물 가죽지갑 머니클립지갑 머니클립남성지갑 소가죽지갑 남성지갑선물 남자지갑선물 소가죽머니클립,9
29,1001027378,고급스러운 빈티지한,2
30,1001652104,럭셔리한 세련된 고급스러운 슬림한 일상패션,5
31,2552673289,미니지갑 소가죽지갑 소가죽미니지갑 미니카드지갑 가죽지갑 여성가죽지갑 간편한지갑 유행타지않는 심플한지갑,9
32,2432844101,여성반지갑 단추지갑 가죽지갑 여성동전지갑 미니지갑 미니카드지갑 소가죽지갑 소가죽반지갑 학생지갑 미니동전지갑,10
33,1000936589,,0
34,2512827173,여성반지갑 여대생지갑 여자고등학생지갑 여자중학생지갑 여자대학생지갑 여자미니지갑 예쁜지갑 여자들이좋아하는선물 20대여자지갑 10대여자지갑,10
35,1002066986,소가죽지갑 미니지갑 소가죽반지갑 소가죽카드지갑,4
36,1002223013,여성반지갑 여성카드지갑 미니지갑 가죽반지갑 소가죽반지갑 소가죽카드지갑,6
37,1001154350,여자반지갑 소가죽지갑 가죽지갑 가죽카드지갑 여자친구선물 지갑선물 카드동전지갑,7
38,2807936521,소가죽지갑 미니지갑 소가죽카드지갑 소가죽반지갑 3단지갑 간편한지갑 여성미니지갑 심플한지갑,8
39,1000307242,귀여운 나들이룩 내추럴한 고급스러운 미니멀한,5
40,1003005624,사피아노지갑 소가죽지갑 미니지갑 컬러지갑 커플지갑,5
41,2396080110,유행타지않는 럭셔리한 비비드한 발렌타이선물 가죽카드지갑 리얼가죽지갑 톡톡튀는컬러감,7
42,1003254624,귀여운 세련된 고급스러운 스타일리쉬한 선물로좋은,5
43,2193128102,여성반지갑 태슬지갑 태슬반지갑 지퍼반지갑 지퍼지갑 캐쥬얼장지갑 모던시크 미니지갑스타일,8
44,2621620442,소가죽지갑 소가죽카드지갑 소가죽동전지갑 가죽지갑 미니지갑 미니손지갑 손지갑,7
45,2164718910,소가죽반지갑 미니반지갑 소가죽지갑 미니지갑 소가죽카드지갑 가죽지갑 가죽반지갑 가죽카드지갑 반지갑선물 카드지갑반지갑,10
46,2728712964,여자반지갑 여성카드지갑 남자카드지갑 소가죽지갑 가죽카드지갑 커플지갑 남자가죽지갑 여자가죽지갑 학생지갑 여성장지갑,10
47,2379829769,,0
48,1003276760,캐주얼한 화사한 블링블링 포인트패션 이지캐주얼,5
49,1002464927,캐주얼한 고급스러운 심플한 미니멀한 일상패션,5
50,1002736618,럭셔리한 고급스러운 심플한 미니멀한 슬림한,5
51,2633814803,큐빅지갑 카드명함지갑 여성동전지갑 블링블링한지갑 미니지갑 립스틱지갑 향수병지갑 큐빅블링 러블리지갑 케주얼반지갑,10
52,2167749864,고급스러움 여성반지갑 여자반지갑 여성반지갑지퍼형 소가죽반지갑 소가죽지갑 태슬지갑 소가죽카드지갑 멋진선물 세련된선물,10
53,2061816320,슬림한 클레식한감성 편리한지갑 유행타지않는 미니지갑스타일 20대 10대여성 30대여성 컬러반지갑 지퍼반지갑,10
54,2519702233,퀄리티좋은반지갑 여성반지갑 소가죽반지갑 엔틱반지갑 컬러반지갑 가죽지갑 골드지갑 하나만으로돋보이는 세련된글리터 고급스러운느낌,10
55,2185794078,미니지갑 생일선물 크리스마스선물 연말선물 여성카드지갑 여성동전지갑,6
56,2131388105,여자반지갑 미니지갑 사각지갑 사각미니지갑 여자친구선물 여자소가죽지갑 소가죽미니지갑 소가죽반지갑 테슬반지갑 포인트지갑,10
57,2172792775,미니지갑 태슬지갑 밍크방울지갑 동전지갑케이스,4
58,2411746147,유니크 흔하지않은 여자반지갑 여성반지갑 지퍼반지갑 가죽반지갑 소가죽반지갑,7
59,2847792874,카드지갑홀더 키링지갑 미니지갑 고급스러운룩 하나만으로돋보이는 프러포즈 기념일 30대 20대여성,9
